p_val	pct.1	pct.2	p_val_adj	diff
ENST00000600213.3	8.6565282971488e-12	0	0.608	2.96053267762489e-09	-0.001299722351753
ENST00000318037.3	1.88003871466747e-10	0.229	0	6.42973240416274e-08	-0.00284353491690899
ENST00000537020.5	2.8900788775687e-10	0.174	0	9.88406976128497e-08	0.00126568644637305
ENST00000613473.1	1.9295026967467e-09	0.235	0	6.5988992228737e-07	0.00401790810671353
ENST00000395125.1	6.87012462017004e-09	0.131	0	2.34958262009815e-06	0.00168958062148848
ENST00000402802.7	1.56430630428842e-08	0.356	0	5.3499275606664e-06	0.00301473028794155
ENST00000263620.7	2.58475583704234e-08	0.205	0	8.8398649626848e-06	-0.00260886713733523
ENST00000646664.1	4.99189726006482e-08	0	0.236	1.70722886294217e-05	-0.00722699321259351
ENST00000558060.1	5.06922196281024e-08	0	0.346	1.7336739112811e-05	-0.00942632999540438
ENST00000424164.1	2.81395141051552e-07	0	0.343	9.62371382396308e-05	-0.0120074469328409
ENST00000244020.4	9.17437479113222e-07	0.371	0	0.000313763617856722	-0.00101924055771627
ENST00000525384.1	5.86215596929008e-06	0	0.334	0.00200485734149721	-0.0102856383490723
ENST00000304858.6	6.0757044006218e-06	0.326	0	0.00207789090501266	-0.00265226794946624
ENST00000536684.2	6.57271823780241e-06	0.108	0.548	0.00224786963732843	-0.00284718459036027
ENST00000370353.3	7.95797272312432e-06	0.157	0	0.00272162667130852	0.00274376352028636
ENST00000331523.6	1.6857025834326e-05	0	0.216	0.00576510283533951	-0.00601583262970121
ENST00000572485.5	2.29739403522091e-05	0.144	0	0.00785708760045551	0.00279048927186067
ENST00000331825.10	2.55461007504886e-05	0	0.225	0.00873676645666711	-0.000572275943641376
ENST00000409600.5	3.56911635376722e-05	0.375	0	0.0122063779298839	-6.82243302459927e-05
ENST00000361624.2	5.76445217079165e-05	0	0.527	0.0197144264241074	0.000407074878638924
ENST00000519973.5	5.87232314759578e-05	0.055	0	0.0200833451647776	0.000906437997802066
ENST00000361899.2	0.000129974753193362	0	0.536	0.0444513655921297	0.00152375266651986
ENST00000202773.13	0.000146825130592256	0	0.173	0.0502141946625516	-0.00191940034383859
ENST00000215754.7	0.000174671080223021	0.116	0	0.0597375094362733	-0.00101738433188163
ENST00000613839.2	0.000174671080223021	0.116	0	0.0597375094362733	-0.00101738433188163
ENST00000585357.1	0.000192154232948045	0.121	0	0.0657167476682315	0.00264255021141026
ENST00000314261.11	0.000194772076925206	0	0.323	0.0666120503084205	-0.00862849163849319
ENST00000618288.1	0.000234572951438145	0	0.112	0.0802239493918455	0.00141867596804089
ENST00000274140.9	0.000281162994994683	0.159	0	0.0961577442881817	0.000665996474213691
ENST00000478791.1	0.000293125555512491	0.17	0	0.100248939985272	0.00229145677537263
ENST00000612549.4	0.000298623770514725	0.144	0	0.102129329516036	0.00312908825621314
ENST00000361789.2	0.000395793031178206	0	0.548	0.135361216662946	0.00119176797615667
ENST00000526457.3	0.000426921954810077	0.572	0.164	0.146007308545046	-0.0204653210959195
ENST00000493540.1	0.000452332285424612	0	0.282	0.154697641615217	-0.00875975893972047
ENST00000371610.6	0.000459641714427737	0.411	0	0.157197466334286	0.00446298845852449
ENST00000398752.10	0.000488247896258203	0.191	0.135	0.166980780520305	-0.00492607591890815
ENST00000644362.1	0.000627708083784983	0	0.141	0.214676164654464	-0.00645470393643754
ENST00000377269.3	0.000629101003639085	0.157	0	0.215152543244567	0.00329909690965576
ENST00000305641.6	0.000724059628953399	0.047	0	0.247628393102062	0.000881169690904521
ENST00000319194.9	0.000823763329337024	0.11	0	0.281727058633262	0.00283717925532153
ENST00000424100.1	0.000890858346024029	0	0.317	0.304673554340218	-0.00703026719480461
ENST00000259470.5	0.000938340538749519	0.076	0	0.320912464252335	-0.000991959209964345
ENST00000595527.2	0.00104508099862707	0.097	0	0.357417701530459	0.00156464418597255
ENST00000594104.1	0.00122400132879423	0	0.421	0.418608454447628	-0.0129910592612037
ENST00000610520.4	0.00142518673599199	0.034	0	0.487413863709261	-0.000382049222667571
ENST00000234590.10	0.00168448603370745	0	0.15	0.576094223527949	-0.00293435127496705
ENST00000419792.6	0.00191193512334663	0.174	0	0.653881812184549	-0.00148629676085709
