target_id, strand, e_value, length
ENST00000467116.5,+,1.2e-22,1634
ENST00000356542.5,-,1.5e-22,894
ENST00000514508.1,+,4.7e-22,635
ENST00000447399.6,+,6.4e-22,3538
ENST00000483634.1,+,8.1e-22,1750
ENST00000318950.10,+,8.8e-22,4882
ENST00000283875.5,-,9.8e-22,3012
ENST00000261590.12,+,1.1e-21,5831
ENST00000539749.5,+,1.1e-21,3517
ENST00000267970.8,+,1.2e-21,6467
ENST00000495934.2,+,1.5e-21,472
ENST00000310442.4,-,1.5e-21,4721
ENST00000460096.1,+,2.1e-21,629
ENST00000182527.3,+,2.3e-21,6908
ENST00000265245.9,+,2.8e-21,3572
ENST00000495579.5,+,2.9e-21,1176
ENST00000498564.5,+,2.9e-21,1176
ENST00000463669.5,+,2.9e-21,1176
ENST00000296254.3,+,3.6e-21,1060
ENST00000585517.5,+,3.7e-21,3319
ENST00000368608.3,-,3.7e-21,3326
ENST00000324306.10,+,4.5e-21,9418
ENST00000238831.8,-,5.7e-21,11949
ENST00000264657.9,+,5.7e-21,5047
ENST00000392876.7,-,5.8e-21,7207
ENST00000409535.6,-,7.8e-21,9776
ENST00000396847.7,-,8.1e-21,3170
ENST00000238831.8,+,9.6e-21,11949
ENST00000325418.5,+,9.9e-21,2797
ENST00000421852.5,+,1e-20,2827
ENST00000366442.2,-,1.1e-20,780
ENST00000478443.1,+,1.2e-20,1071
ENST00000369851.5,+,1.3e-20,27174
ENST00000340413.6,-,1.4e-20,3874
ENST00000564967.1,+,1.4e-20,2199
ENST00000395384.8,+,1.5e-20,2343
ENST00000500576.4,-,2e-20,592
ENST00000321265.9,+,2.6e-20,1800
ENST00000643716.1,-,3.2e-20,4874
ENST00000281031.4,-,3.7e-20,2518
ENST00000411432.5,+,4.2e-20,4805
ENST00000216214.7,-,5.1e-20,3458
ENST00000366971.8,+,5.2e-20,5939
ENST00000513407.1,-,5.4e-20,2276
ENST00000317568.9,-,5.5e-20,3723
ENST00000330964.9,+,5.6e-20,6434
ENST00000594216.1,-,5.7e-20,894
ENST00000261464.9,-,5.9e-20,3972
ENST00000393728.6,+,6.6e-20,2243
ENST00000273480.3,-,6.6e-20,2763
ENST00000604384.2,-,6.7e-20,255
ENST00000589291.1,-,7e-20,578
ENST00000251195.9,+,7.1e-20,4769
ENST00000495596.5,-,7.1e-20,1976
ENST00000323460.9,-,7.2e-20,6308
ENST00000559427.1,-,7.4e-20,608
ENST00000340607.4,-,7.8e-20,1774
ENST00000298569.8,+,8.8e-20,2991
ENST00000369724.4,-,8.9e-20,3744
ENST00000480477.1,-,9e-20,545
ENST00000380155.3,-,9.1e-20,6129
ENST00000531649.1,+,9.2e-20,554
ENST00000494870.5,+,1.1e-19,663
ENST00000393218.6,-,1.1e-19,2115
ENST00000369722.7,+,1.1e-19,3156
ENST00000298198.4,+,1.3e-19,8515
ENST00000480170.1,-,1.3e-19,569
ENST00000601879.5,+,1.3e-19,5546
ENST00000600239.5,+,1.3e-19,5565
ENST00000064724.7,-,1.4e-19,2169
ENST00000481473.5,+,1.4e-19,1836
ENST00000452918.6,+,1.5e-19,6176
ENST00000378251.2,-,1.6e-19,4310
ENST00000367419.9,+,1.6e-19,2024
ENST00000591308.1,-,1.6e-19,483
ENST00000358337.9,-,1.8e-19,4080
ENST00000615695.1,+,2.1e-19,897
ENST00000590000.1,+,2.2e-19,633
ENST00000472584.1,+,2.2e-19,722
ENST00000311317.8,+,2.3e-19,2897
ENST00000557011.5,-,2.4e-19,474
ENST00000369064.7,+,2.6e-19,2729
ENST00000496262.1,+,2.6e-19,840
ENST00000486637.1,+,2.6e-19,852
ENST00000469563.1,+,2.7e-19,878
ENST00000486028.1,+,2.9e-19,719
ENST00000301391.7,+,2.9e-19,1910
ENST00000295030.5,+,3e-19,4470
ENST00000336470.8,+,3.1e-19,2357
ENST00000606017.1,-,3.3e-19,2180
ENST00000489678.1,+,3.3e-19,3008
ENST00000480615.1,+,3.4e-19,1646
ENST00000327877.9,+,3.8e-19,2118
ENST00000619133.4,-,3.8e-19,2513
ENST00000612549.4,+,3.9e-19,2971
ENST00000463738.5,-,4e-19,528
ENST00000528987.1,-,4.1e-19,3716
ENST00000356189.5,-,4.2e-19,1322
ENST00000432005.6,+,4.5e-19,585
ENST00000521580.2,-,4.5e-19,3454
ENST00000366210.2,+,4.6e-19,672
ENST00000600775.5,-,4.6e-19,533
ENST00000467190.1,+,4.8e-19,553
ENST00000428830.6,-,5.1e-19,1845
ENST00000273541.12,+,5.4e-19,1704
ENST00000356156.7,-,5.5e-19,551
ENST00000490044.5,-,5.8e-19,3215
ENST00000313733.8,-,6.2e-19,4010
ENST00000578115.1,-,6.4e-19,569
ENST00000575801.5,-,6.5e-19,2681
ENST00000309983.4,+,6.6e-19,3181
