target_id, strand, e_value, length
ENST00000422340.6,+,8.2e-22,2855
ENST00000557011.5,+,2.9e-21,474
ENST00000567909.1,-,3.2e-21,210
ENST00000453471.6,+,4.8e-21,620
ENST00000366089.2,+,7.7e-21,435
ENST00000607252.5,-,9.6e-21,1185
ENST00000647439.1,-,1.1e-20,407
ENST00000568371.1,+,1.4e-20,734
ENST00000359680.9,+,1.8e-20,2716
ENST00000380579.5,+,1.9e-20,2776
ENST00000470110.2,-,1.9e-20,2867
ENST00000463436.1,-,2.1e-20,519
ENST00000491741.5,+,2.3e-20,1188
ENST00000565723.1,+,2.3e-20,408
ENST00000621663.4,+,2.4e-20,3567
ENST00000481245.6,-,2.7e-20,459
ENST00000488013.1,+,2.7e-20,651
ENST00000645392.1,+,2.8e-20,3384
ENST00000643716.1,+,3.3e-20,4874
ENST00000246548.8,+,3.4e-20,4023
ENST00000319863.12,-,3.6e-20,4357
ENST00000432005.6,-,4.2e-20,585
ENST00000551024.5,-,4.4e-20,1042
ENST00000567200.1,-,4.9e-20,412
ENST00000546398.5,+,5e-20,2075
ENST00000549235.6,-,6.1e-20,496
ENST00000604665.1,-,6.6e-20,891
ENST00000415409.6,+,6.7e-20,1274
ENST00000529201.1,+,6.9e-20,561
ENST00000318348.8,-,7e-20,2356
ENST00000268766.10,-,7e-20,3581
ENST00000560444.1,-,7e-20,1631
ENST00000537303.5,-,7.1e-20,1350
ENST00000298198.4,-,7.2e-20,8515
ENST00000371199.7,-,7.2e-20,8591
ENST00000322753.6,+,7.3e-20,3712
ENST00000606570.1,-,7.7e-20,3931
ENST00000274695.8,+,8e-20,3272
ENST00000644934.1,+,8.2e-20,4194
ENST00000619747.1,-,8.2e-20,2758
ENST00000530493.1,+,8.3e-20,1322
ENST00000587928.5,-,8.3e-20,4230
ENST00000560504.1,-,8.3e-20,1114
ENST00000463168.1,-,8.7e-20,502
ENST00000556831.5,-,9.2e-20,729
ENST00000513632.2,+,9.3e-20,738
ENST00000445593.6,-,9.5e-20,3173
ENST00000583313.6,-,9.8e-20,4961
ENST00000480198.1,-,9.8e-20,1306
ENST00000392647.6,-,1e-19,4077
ENST00000375147.7,-,1e-19,5178
ENST00000323013.6,-,1.1e-19,3801
ENST00000319211.4,-,1.1e-19,3821
ENST00000522255.1,-,1.2e-19,931
ENST00000441174.7,-,1.2e-19,4004
ENST00000524750.1,-,1.4e-19,757
ENST00000533107.3,+,1.4e-19,2187
ENST00000510199.5,+,1.4e-19,1100
ENST00000511024.5,-,1.4e-19,1882
ENST00000380155.3,+,1.5e-19,6129
ENST00000436697.2,-,1.6e-19,866
ENST00000261015.4,-,1.6e-19,8100
ENST00000511394.2,+,1.7e-19,494
ENST00000588303.1,-,1.7e-19,914
ENST00000558194.5,-,1.7e-19,7102
ENST00000262293.8,-,1.8e-19,2332
ENST00000578542.5,-,1.8e-19,2334
ENST00000334660.9,+,1.8e-19,3329
ENST00000557187.1,+,1.8e-19,352
ENST00000490537.6,+,1.9e-19,2423
ENST00000597922.1,-,1.9e-19,476
ENST00000381736.7,-,1.9e-19,4332
ENST00000599719.5,-,1.9e-19,1473
ENST00000595295.1,-,2e-19,909
ENST00000369724.4,+,2e-19,3744
ENST00000593019.1,+,2e-19,1551
ENST00000460096.1,-,2.2e-19,629
ENST00000360816.7,-,2.2e-19,5036
ENST00000642592.1,-,2.3e-19,1047
ENST00000551192.5,-,2.3e-19,1469
ENST00000571442.5,-,2.4e-19,588
ENST00000398970.5,-,2.4e-19,3675
ENST00000500576.4,+,2.4e-19,592
ENST00000473038.5,-,2.4e-19,948
ENST00000595529.1,-,2.4e-19,814
ENST00000571133.5,-,2.4e-19,5483
ENST00000353047.10,-,2.5e-19,3875
ENST00000300574.2,-,2.5e-19,3880
ENST00000367139.7,-,2.5e-19,3272
ENST00000593941.5,+,2.6e-19,863
ENST00000372405.1,-,2.6e-19,1962
ENST00000326737.3,-,2.6e-19,1967
ENST00000558910.3,-,2.6e-19,1968
ENST00000567287.2,+,2.6e-19,366
ENST00000590389.5,-,2.7e-19,769
ENST00000273541.12,-,2.7e-19,1704
ENST00000597037.1,-,2.7e-19,780
ENST00000534453.1,-,2.7e-19,672
ENST00000447399.6,-,2.7e-19,3538
ENST00000295958.9,-,2.9e-19,6483
ENST00000441801.6,-,2.9e-19,1543
ENST00000261733.6,-,2.9e-19,9569
ENST00000462002.5,+,2.9e-19,716
ENST00000487099.6,+,3.1e-19,7031
ENST00000373266.8,-,3.2e-19,2377
ENST00000300413.9,-,3.2e-19,4909
ENST00000299163.6,-,3.2e-19,13011
ENST00000526185.5,-,3.2e-19,1723
ENST00000330636.8,+,3.2e-19,7312
ENST00000634509.1,-,3.3e-19,442
ENST00000438197.2,-,3.3e-19,1751
ENST00000429604.5,-,3.3e-19,4336
ENST00000369980.7,-,3.4e-19,3666
ENST00000297156.3,+,3.5e-19,2221
ENST00000519926.5,-,3.5e-19,857
ENST00000508631.2,+,3.6e-19,558
ENST00000639725.1,-,3.7e-19,4782
ENST00000598768.1,-,3.7e-19,497
ENST00000264230.4,+,3.8e-19,3415
ENST00000318950.10,-,3.8e-19,4882
ENST00000487002.1,-,3.8e-19,2017
ENST00000373014.4,+,3.8e-19,2019
ENST00000595499.1,-,3.9e-19,799
ENST00000600584.5,+,3.9e-19,2926
ENST00000262848.5,-,3.9e-19,6031
ENST00000361740.8,+,3.9e-19,2938
ENST00000397496.7,-,3.9e-19,1111
ENST00000383807.5,+,3.9e-19,5102
ENST00000355151.9,-,4e-19,1118
ENST00000640091.1,+,4e-19,2115
ENST00000572485.5,+,4e-19,2995
ENST00000556515.1,+,4e-19,534
ENST00000359543.7,-,4e-19,5197
ENST00000272462.2,+,4.1e-19,3061
ENST00000323460.9,+,4.1e-19,6308
ENST00000494306.1,-,4.2e-19,738
ENST00000269122.7,-,4.2e-19,7760
ENST00000578895.5,+,4.2e-19,3154
ENST00000227155.8,-,4.3e-19,2289
ENST00000569540.5,+,4.4e-19,2331
ENST00000179259.5,-,4.4e-19,2782
ENST00000264036.5,-,4.4e-19,3313
ENST00000313733.8,+,4.4e-19,4010
ENST00000553161.1,-,4.5e-19,916
