transcript_id, free_energy, transcript_pool
ENST00000610953.3,-280.90,enriched_transcripts
ENST00000361390.2,-148.80,enriched_transcripts
ENST00000361453.3,-117.88,enriched_transcripts
ENST00000361624.2,-334.16,enriched_transcripts
ENST00000361899.2,-77.04,enriched_transcripts
ENST00000361381.2,-182.84,enriched_transcripts
ENST00000361567.2,-246.01,enriched_transcripts
ENST00000361789.2,-181.70,enriched_transcripts
ENST00000340717.4,-790.60,enriched_transcripts
ENST00000330964.9,-2654.90,enriched_transcripts
ENST00000604646.1,-338.10,enriched_transcripts
ENST00000409600.5,-1886.40,enriched_transcripts
ENST00000612503.1,-1342.90,enriched_transcripts
ENST00000568588.5,-571.50,enriched_transcripts
ENST00000561775.5,-404.60,enriched_transcripts
ENST00000359543.7,-1987.50,enriched_transcripts
ENST00000591537.5,-1659.50,enriched_transcripts
ENST00000498273.1,-959.90,enriched_transcripts
ENST00000616928.3,-280.90,enriched_transcripts
ENST00000616839.3,-280.90,enriched_transcripts
ENST00000359236.9,-1670.40,enriched_transcripts
ENST00000594104.1,-915.70,enriched_transcripts
ENST00000481445.1,-676.30,enriched_transcripts
ENST00000358056.7,-1033.70,enriched_transcripts
ENST00000543796.5,-763.90,enriched_transcripts
ENST00000606080.1,-3608.78,enriched_transcripts
ENST00000641626.1,-2501.77,enriched_transcripts
ENST00000527958.5,-1200.20,enriched_transcripts
ENST00000366405.2,-199.50,enriched_transcripts
ENST00000290158.8,-1879.50,enriched_transcripts
ENST00000451500.5,-615.37,enriched_transcripts
ENST00000368323.7,-952.60,enriched_transcripts
ENST00000552951.6,-7062.40,enriched_transcripts
ENST00000598742.5,-1010.90,enriched_transcripts
ENST00000601492.5,-126.10,enriched_transcripts
ENST00000488894.1,-898.50,enriched_transcripts
ENST00000512101.5,-676.40,enriched_transcripts
ENST00000304858.6,-1397.30,enriched_transcripts
ENST00000644381.1,-107.80,enriched_transcripts
ENST00000331825.10,-320.70,enriched_transcripts
ENST00000569306.1,-303.10,enriched_transcripts
ENST00000555870.5,-1716.40,enriched_transcripts
ENST00000336023.9,-567.40,enriched_transcripts
ENST00000437747.6,-609.70,enriched_transcripts
ENST00000274140.9,-2615.00,enriched_transcripts
ENST00000517671.5,-335.60,enriched_transcripts
ENST00000296930.9,-498.20,enriched_transcripts
ENST00000351986.10,-325.90,enriched_transcripts
ENST00000615544.4,-611.40,enriched_transcripts
ENST00000617291.3,-280.90,enriched_transcripts
ENST00000202773.13,-257.14,enriched_transcripts
ENST00000244745.3,-2115.81,enriched_transcripts
ENST00000595527.2,-913.90,enriched_transcripts
ENST00000555292.1,-147.40,enriched_transcripts
ENST00000554566.5,-234.50,enriched_transcripts
ENST00000646664.1,-613.01,enriched_transcripts
ENST00000301072.10,-1151.50,enriched_transcripts
ENST00000604952.1,-310.10,enriched_transcripts
ENST00000545712.6,-1599.90,enriched_transcripts
ENST00000613473.1,-1866.65,enriched_transcripts
ENST00000538183.6,-4489.70,enriched_transcripts
ENST00000525593.5,-306.90,enriched_transcripts
ENST00000360997.6,-1188.30,enriched_transcripts
ENST00000393658.6,-716.80,enriched_transcripts
ENST00000262030.7,-638.00,enriched_transcripts
ENST00000487099.6,-2375.30,enriched_transcripts
ENST00000536684.2,-276.77,enriched_transcripts
ENST00000357235.5,-1005.90,enriched_transcripts
ENST00000399613.1,-1296.80,enriched_transcripts
ENST00000330501.11,-1791.80,enriched_transcripts
ENST00000589178.5,-939.90,enriched_transcripts
ENST00000618751.3,-280.90,enriched_transcripts
ENST00000428465.2,-1186.07,enriched_transcripts
ENST00000367996.5,-4042.50,enriched_transcripts
ENST00000645507.1,-1767.80,enriched_transcripts
ENST00000234590.10,-654.20,enriched_transcripts
ENST00000391857.8,-411.80,enriched_transcripts
ENST00000356769.7,-856.60,enriched_transcripts
ENST00000399974.4,-484.00,enriched_transcripts
ENST00000607778.1,-2100.90,enriched_transcripts
ENST00000366810.5,-658.20,enriched_transcripts
ENST00000478791.1,-408.80,enriched_transcripts
ENST00000633925.1,-310.10,enriched_transcripts
ENST00000448790.6,-1399.60,enriched_transcripts
ENST00000606017.1,-575.90,enriched_transcripts
ENST00000261313.2,-633.10,enriched_transcripts
ENST00000542939.1,-257.60,enriched_transcripts
ENST00000641895.1,-1726.20,enriched_transcripts
ENST00000309733.5,-2547.90,enriched_transcripts
ENST00000607964.1,-137.30,enriched_transcripts
ENST00000585357.1,-1554.80,enriched_transcripts
ENST00000644362.1,-735.30,enriched_transcripts
ENST00000373316.4,-1488.40,enriched_transcripts
ENST00000563276.5,-616.00,enriched_transcripts
ENST00000371646.9,-771.70,enriched_transcripts
ENST00000497426.5,-2710.30,enriched_transcripts
ENST00000360971.6,-2076.30,enriched_transcripts
ENST00000358637.4,-926.10,enriched_transcripts
ENST00000396705.9,-459.60,enriched_transcripts
ENST00000490804.1,-308.30,enriched_transcripts
ENST00000324460.6,-1223.30,enriched_transcripts
ENST00000484610.5,-370.90,enriched_transcripts
ENST00000370272.8,-2921.90,enriched_transcripts
ENST00000521481.5,-228.80,enriched_transcripts
ENST00000519196.5,-245.30,enriched_transcripts
ENST00000227266.9,-592.20,enriched_transcripts
ENST00000293831.12,-578.70,enriched_transcripts
ENST00000402285.7,-216.10,enriched_transcripts
ENST00000507968.1,-217.80,enriched_transcripts
ENST00000260379.10,-397.00,enriched_transcripts
ENST00000357790.5,-162.60,enriched_transcripts
ENST00000402802.7,-792.20,enriched_transcripts
ENST00000610020.1,-4895.98,enriched_transcripts
ENST00000604604.1,-458.50,enriched_transcripts
ENST00000322002.4,-3004.40,enriched_transcripts
ENST00000596244.1,-123.50,enriched_transcripts
ENST00000319194.9,-1110.30,enriched_transcripts
ENST00000507160.5,-158.90,enriched_transcripts
ENST00000514688.1,-216.30,enriched_transcripts
ENST00000627982.2,-477.50,enriched_transcripts
ENST00000330062.7,-1047.40,enriched_transcripts
ENST00000458062.3,-913.30,enriched_transcripts
ENST00000369817.6,-480.40,enriched_transcripts
ENST00000398752.10,-1924.50,enriched_transcripts
ENST00000300413.9,-1881.60,enriched_transcripts
ENST00000600213.3,-208.44,enriched_transcripts
ENST00000546500.5,-1179.60,enriched_transcripts
ENST00000547566.5,-377.70,enriched_transcripts
ENST00000340913.10,-537.80,enriched_transcripts
ENST00000330752.12,-364.90,enriched_transcripts
ENST00000590320.3,-1422.20,enriched_transcripts
ENST00000369626.7,-1141.70,enriched_transcripts
ENST00000458229.5,-813.50,enriched_transcripts
ENST00000434494.5,-609.10,enriched_transcripts
ENST00000350669.5,-358.20,enriched_transcripts
ENST00000534980.6,-1747.70,enriched_transcripts
ENST00000374299.7,-756.50,enriched_transcripts
ENST00000621696.4,-1731.10,enriched_transcripts
ENST00000636605.1,-267.10,enriched_transcripts
ENST00000421427.5,-199.65,enriched_transcripts
ENST00000481617.6,-922.37,enriched_transcripts
ENST00000480484.5,-1312.50,enriched_transcripts
ENST00000262283.5,-866.90,enriched_transcripts
ENST00000355354.12,-1337.20,enriched_transcripts
ENST00000528205.1,-337.44,enriched_transcripts
ENST00000274242.9,-2537.10,enriched_transcripts
ENST00000409535.6,-3452.87,enriched_transcripts
ENST00000562025.1,-186.20,enriched_transcripts
ENST00000296145.5,-702.00,enriched_transcripts
ENST00000309268.10,-728.10,enriched_transcripts
ENST00000331523.6,-595.00,enriched_transcripts
ENST00000367142.4,-1753.80,enriched_transcripts
ENST00000482370.2,-159.90,enriched_transcripts
ENST00000229239.9,-730.60,enriched_transcripts
ENST00000396861.5,-511.60,enriched_transcripts
ENST00000619601.1,-401.60,enriched_transcripts
ENST00000307839.9,-873.80,enriched_transcripts
ENST00000412097.5,-198.30,enriched_transcripts
ENST00000545075.2,-335.80,enriched_transcripts
ENST00000514406.2,-174.30,enriched_transcripts
ENST00000469687.2,-579.10,enriched_transcripts
ENST00000489060.1,-1134.90,enriched_transcripts
ENST00000415914.3,-830.50,enriched_transcripts
ENST00000400331.9,-2575.70,enriched_transcripts
ENST00000371610.6,-1285.50,enriched_transcripts
ENST00000528439.5,-157.90,enriched_transcripts
ENST00000524851.5,-316.30,enriched_transcripts
ENST00000244020.4,-1171.30,enriched_transcripts
ENST00000238647.4,-1859.70,enriched_transcripts
ENST00000430095.6,-741.64,enriched_transcripts
ENST00000422514.6,-466.30,enriched_transcripts
ENST00000296674.12,-1047.60,enriched_transcripts
ENST00000340344.4,-2101.50,enriched_transcripts
ENST00000569510.5,-706.70,enriched_transcripts
ENST00000233143.5,-148.40,enriched_transcripts
ENST00000586501.1,-401.60,enriched_transcripts
ENST00000468812.5,-784.00,enriched_transcripts
ENST00000308162.9,-482.50,enriched_transcripts
ENST00000376767.7,-1020.90,enriched_transcripts
ENST00000254810.8,-806.90,enriched_transcripts
ENST00000593254.1,-267.80,enriched_transcripts
ENST00000409290.1,-1267.60,enriched_transcripts
ENST00000522754.1,-790.40,enriched_transcripts
ENST00000274065.8,-257.70,enriched_transcripts
ENST00000379412.9,-564.10,enriched_transcripts
ENST00000512158.5,-575.20,enriched_transcripts
ENST00000329251.4,-554.30,enriched_transcripts
ENST00000374980.2,-805.80,enriched_transcripts
ENST00000458537.7,-1639.80,enriched_transcripts
ENST00000473291.1,-637.80,enriched_transcripts
ENST00000396183.7,-1032.70,enriched_transcripts
ENST00000401609.5,-460.10,enriched_transcripts
ENST00000216146.8,-540.50,enriched_transcripts
ENST00000476458.1,-317.68,enriched_transcripts
ENST00000383524.4,-609.70,enriched_transcripts
ENST00000377093.8,-2208.80,enriched_transcripts
ENST00000329286.7,-689.60,enriched_transcripts
ENST00000287590.5,-1619.70,enriched_transcripts
ENST00000372692.8,-821.90,enriched_transcripts
ENST00000378308.6,-2380.90,enriched_transcripts
