transcript_id, free_energy, transcript_pool
ENST00000361335.1,-52.80,random_transcripts
ENST00000471932.5,-1066.00,random_transcripts
ENST00000510012.1,-282.50,random_transcripts
ENST00000640210.1,-671.10,random_transcripts
ENST00000254231.4,-1162.50,random_transcripts
ENST00000343090.10,-1581.20,random_transcripts
ENST00000535399.1,-258.00,random_transcripts
ENST00000569760.5,-229.70,random_transcripts
ENST00000599826.5,-303.70,random_transcripts
ENST00000458521.6,-255.50,random_transcripts
ENST00000409298.5,-604.10,random_transcripts
ENST00000431099.3,-209.90,random_transcripts
ENST00000541679.7,-173.80,random_transcripts
ENST00000419367.8,-489.30,random_transcripts
ENST00000380620.8,-4324.00,random_transcripts
ENST00000463343.1,-336.60,random_transcripts
ENST00000357466.6,-812.60,random_transcripts
ENST00000233627.13,-474.00,random_transcripts
ENST00000414771.5,-823.10,random_transcripts
ENST00000327435.10,-767.34,random_transcripts
ENST00000610733.1,-1254.50,random_transcripts
ENST00000403094.3,-644.30,random_transcripts
ENST00000567471.1,-230.60,random_transcripts
ENST00000377107.6,-1304.30,random_transcripts
ENST00000484991.1,-214.90,random_transcripts
ENST00000493763.5,-1596.50,random_transcripts
ENST00000246337.8,-496.40,random_transcripts
ENST00000617176.4,-1851.15,random_transcripts
ENST00000610426.4,-994.78,random_transcripts
ENST00000503265.4,-694.30,random_transcripts
ENST00000368090.4,-1998.57,random_transcripts
ENST00000409174.1,-1862.30,random_transcripts
ENST00000373055.5,-848.20,random_transcripts
ENST00000553891.5,-1161.00,random_transcripts
ENST00000220659.10,-1007.50,random_transcripts
ENST00000335753.8,-2110.50,random_transcripts
ENST00000512808.2,-185.80,random_transcripts
ENST00000326587.11,-978.40,random_transcripts
ENST00000300101.2,-2056.70,random_transcripts
ENST00000618010.4,-811.00,random_transcripts
ENST00000357246.3,-406.30,random_transcripts
ENST00000492270.1,-227.00,random_transcripts
ENST00000641849.1,-213.00,random_transcripts
ENST00000551063.5,-204.80,random_transcripts
ENST00000394803.9,-603.30,random_transcripts
ENST00000443875.5,-830.50,random_transcripts
ENST00000409134.7,-1740.10,random_transcripts
ENST00000261584.8,-1092.10,random_transcripts
ENST00000360132.7,-1920.50,random_transcripts
ENST00000601323.1,-146.90,random_transcripts
ENST00000643758.1,-843.00,random_transcripts
ENST00000489707.5,-783.40,random_transcripts
ENST00000340533.8,-1220.50,random_transcripts
ENST00000589005.5,-821.60,random_transcripts
ENST00000216455.8,-250.40,random_transcripts
ENST00000262519.13,-2697.40,random_transcripts
ENST00000613242.4,-1277.49,random_transcripts
ENST00000580787.5,-117.40,random_transcripts
ENST00000358230.7,-809.70,random_transcripts
ENST00000557487.5,-747.50,random_transcripts
ENST00000290341.7,-2924.87,random_transcripts
ENST00000393929.5,-597.10,random_transcripts
ENST00000647248.2,-355.30,random_transcripts
ENST00000481868.1,-134.10,random_transcripts
ENST00000411637.6,-2511.60,random_transcripts
ENST00000533445.1,-153.80,random_transcripts
ENST00000263681.6,-1077.30,random_transcripts
ENST00000258341.4,-2607.90,random_transcripts
ENST00000554375.5,-591.40,random_transcripts
